day_name_end,month_end,day_end,hour_end,return_for_next_hour
Friday,3,9,20,17
Friday,3,9,21,68
Friday,3,9,22,83
Friday,3,9,23,61
Friday,3,16,0,11
Friday,3,16,1,7
Friday,3,16,2,6
Friday,3,16,3,4
Friday,3,16,5,15
Friday,3,16,6,52
Friday,3,16,7,129
Friday,3,16,8,313
Friday,3,16,9,327
Friday,3,16,10,319
Friday,3,16,11,52
Friday,3,16,12,124
Friday,3,16,13,289
Friday,3,16,14,193
Friday,3,16,15,32
Friday,3,16,16,244
Friday,3,16,17,508
Friday,3,16,18,405
Friday,3,16,19,217
Friday,3,16,20,120
Friday,3,16,21,115
Friday,3,16,22,78
Friday,3,16,23,33
Friday,3,23,0,16
Friday,3,23,1,10
Friday,3,23,2,5
Friday,3,23,3,4
Friday,3,23,4,6
Friday,3,23,5,14
Friday,3,23,6,59
Friday,3,23,7,197
Friday,3,23,8,496
Friday,3,23,9,481
Friday,3,23,10,231
Friday,3,23,11,169
Friday,3,23,12,208
Friday,3,23,13,216
Friday,3,23,14,172
Friday,3,23,15,196
Friday,3,23,16,334
Friday,3,23,17,527
Friday,3,23,18,369
Friday,3,23,19,246
Friday,3,23,20,162
Friday,3,23,21,82
Friday,3,23,22,58
Friday,3,23,23,54
Friday,3,30,0,27
Friday,3,30,1,13
Friday,3,30,2,17
Friday,3,30,3,6
Friday,3,30,4,3
Friday,3,30,5,19
Friday,3,30,6,71
Friday,3,30,7,183
Friday,3,30,8,521
Friday,3,30,9,579
Friday,3,30,10,253
Friday,3,30,11,181
Friday,3,30,12,233
Friday,3,30,13,226
Friday,3,30,14,204
Friday,3,30,15,257
Friday,3,30,16,345
Friday,3,30,17,532
Friday,3,30,18,415
Friday,3,30,19,230
Friday,3,30,20,162
Friday,3,30,21,123
Friday,3,30,22,90
Friday,3,30,23,63
Friday,4,6,0,10
Friday,4,6,1,4
Friday,4,6,2,2
Friday,4,6,3,3
Friday,4,6,4,5
Friday,4,6,5,4
Friday,4,6,6,28
Friday,4,6,7,86
Friday,4,6,8,217
Friday,4,6,9,49
Friday,4,6,10,98
Friday,4,6,11,12
Friday,4,6,12,32
Friday,4,6,13,58
Friday,4,6,14,49
Friday,4,6,15,4
Friday,4,6,16,74
Friday,4,6,17,216
Friday,4,6,18,24
Friday,4,6,19,82
Friday,4,6,20,14
Friday,4,6,21,16
Friday,4,6,22,41
Friday,4,6,23,14
Friday,4,13,0,21
Friday,4,13,1,11
Friday,4,13,2,8
Friday,4,13,3,5
Friday,4,13,4,6
Friday,4,13,5,19
Friday,4,13,6,77
Friday,4,13,7,215
Friday,4,13,8,540
Friday,4,13,9,508
Friday,4,13,10,230
Friday,4,13,11,175
Friday,4,13,12,213
Friday,4,13,13,212
Friday,4,13,14,230
Friday,4,13,15,236
Friday,4,13,16,376
Friday,4,13,17,545
Friday,4,13,18,502
Friday,4,13,19,281
Friday,4,13,20,177
Friday,4,13,21,98
Friday,4,13,22,85
Friday,4,13,23,78
Friday,4,20,0,20
Friday,4,20,1,9
Friday,4,20,2,9
Friday,4,20,3,5
Friday,4,20,4,8
Friday,4,20,5,16
Friday,4,20,6,59
Friday,4,20,7,231
Friday,4,20,8,516
Friday,4,20,9,535
Friday,4,20,10,252
Friday,4,20,11,204
Friday,4,20,12,203
Friday,4,20,13,231
Friday,4,20,14,222
Friday,4,20,15,248
Friday,4,20,16,377
Friday,4,20,17,574
Friday,4,20,18,517
Friday,4,20,19,238
Friday,4,20,20,129
Friday,4,20,21,124
Friday,4,20,22,85
Friday,4,20,23,74
Friday,4,27,0,35
Friday,4,27,1,11
Friday,4,27,2,8
Friday,4,27,3,8
Friday,4,27,4,8
Friday,4,27,5,20
Friday,4,27,6,86
Friday,4,27,7,275
Friday,4,27,8,1119
Friday,4,27,9,827
Friday,4,27,10,76
Friday,4,27,11,199
Friday,4,27,12,264
Friday,4,27,13,246
Friday,4,27,14,256
Friday,4,27,15,266
Friday,4,27,16,488
Friday,4,27,17,739
Friday,4,27,18,552
Friday,4,27,19,337
Friday,4,27,20,187
Friday,4,27,21,144
Friday,4,27,22,131
Friday,4,27,23,109
Friday,5,4,0,39
Friday,5,4,1,22
Friday,5,4,2,10
Friday,5,4,3,8
Friday,5,4,4,8
Friday,5,4,5,32
Friday,5,4,6,90
Friday,5,4,7,322
Friday,5,4,8,648
Friday,5,4,9,655
Friday,5,4,10,361
Friday,5,4,11,246
Friday,5,4,12,296
Friday,5,4,13,283
Friday,5,4,14,260
Friday,5,4,15,330
Friday,5,4,16,471
Friday,5,4,17,766
Friday,5,4,18,554
Friday,5,4,19,372
Friday,5,4,20,203
Friday,5,4,21,164
Friday,5,4,22,108
Friday,5,4,23,94
Friday,5,11,0,47
Friday,5,11,1,11
Friday,5,11,2,8
Friday,5,11,3,9
Friday,5,11,4,17
Friday,5,11,5,30
Friday,5,11,6,98
Friday,5,11,7,339
Friday,5,11,8,671
Friday,5,11,9,704
Friday,5,11,10,314
Friday,5,11,11,260
Friday,5,11,12,325
Friday,5,11,13,292
Friday,5,11,14,311
Friday,5,11,15,350
Friday,5,11,16,527
Friday,5,11,17,807
Friday,5,11,18,600
Friday,5,11,19,390
Friday,5,11,20,265
Friday,5,11,21,172
Friday,5,11,22,120
Friday,5,11,23,103
Friday,5,18,0,31
Friday,5,18,1,13
Friday,5,18,2,3
Friday,5,18,3,2
Friday,5,18,4,9
Friday,5,18,5,28
Friday,5,18,6,87
Friday,5,18,7,544
Friday,5,18,8,165
Friday,5,18,9,452
Friday,5,18,10,291
Friday,5,18,11,248
Friday,5,18,12,299
Friday,5,18,13,294
Friday,5,18,14,277
Friday,5,18,15,527
Friday,5,18,16,179
Friday,5,18,17,642
Friday,5,18,18,635
Friday,5,18,19,365
Friday,5,18,20,243
Friday,5,18,21,151
Friday,5,18,22,118
Friday,5,18,23,80
Friday,5,25,0,48
Friday,5,25,1,10
Friday,5,25,2,8
Friday,5,25,3,7
Friday,5,25,4,6
Friday,5,25,5,20
Friday,5,25,6,75
Friday,5,25,7,238
Friday,5,25,8,629
Friday,5,25,9,606
Friday,5,25,10,286
Friday,5,25,11,512
Friday,5,25,12,143
Friday,5,25,13,217
Friday,5,25,14,288
Friday,5,25,15,339
Friday,5,25,16,511
Friday,5,25,17,660
Friday,5,25,18,551
Friday,5,25,19,347
Friday,5,25,20,217
Friday,5,25,21,150
Friday,5,25,22,115
Friday,5,25,23,81
Friday,6,1,0,45
Friday,6,1,1,13
Friday,6,1,2,4
Friday,6,1,3,2
Friday,6,1,4,6
Friday,6,1,5,34
Friday,6,1,6,115
Friday,6,1,7,340
Friday,6,1,8,699
Friday,6,1,9,700
Friday,6,1,10,317
Friday,6,1,11,274
Friday,6,1,12,304
Friday,6,1,13,285
Friday,6,1,14,249
Friday,6,1,15,336
Friday,6,1,16,513
Friday,6,1,17,873
Friday,6,1,18,695
Friday,6,1,19,412
Friday,6,1,20,283
Friday,6,1,21,209
Friday,6,1,22,168
Friday,6,1,23,138
Friday,6,8,0,28
Friday,6,8,1,8
Friday,6,8,2,11
Friday,6,8,3,4
Friday,6,8,4,9
Friday,6,8,5,33
Friday,6,8,6,91
Friday,6,8,7,375
Friday,6,8,8,746
Friday,6,8,9,706
Friday,6,8,10,345
Friday,6,8,11,236
Friday,6,8,12,333
Friday,6,8,13,319
Friday,6,8,14,271
Friday,6,8,15,387
Friday,6,8,16,526
Friday,6,8,17,826
Friday,6,8,18,613
Friday,6,8,19,302
Friday,6,8,20,236
Friday,6,8,21,179
Friday,6,8,22,131
Friday,6,8,23,98
Friday,6,15,0,47
Friday,6,15,1,14
Friday,6,15,2,9
Friday,6,15,3,2
Friday,6,15,4,10
Friday,6,15,5,35
Friday,6,15,6,120
Friday,6,15,7,342
Friday,6,15,8,810
Friday,6,15,9,745
Friday,6,15,10,353
Friday,6,15,11,257
Friday,6,15,12,517
Friday,6,15,13,108
Friday,6,15,14,229
Friday,6,15,15,335
Friday,6,15,16,489
Friday,6,15,17,791
Friday,6,15,18,622
Friday,6,15,19,372
Friday,6,15,20,211
Friday,6,15,21,137
Friday,6,15,22,107
Friday,6,15,23,102
Friday,6,22,0,38
Friday,6,22,1,33
Friday,6,22,2,15
Friday,6,22,3,9
Friday,6,22,4,14
Friday,6,22,5,38
Friday,6,22,6,124
Friday,6,22,7,362
Friday,6,22,8,781
Friday,6,22,9,741
Friday,6,22,10,343
Friday,6,22,11,256
Friday,6,22,12,324
Friday,6,22,13,286
Friday,6,22,14,298
Friday,6,22,15,352
Friday,6,22,16,539
Friday,6,22,17,890
Friday,6,22,18,687
Friday,6,22,19,471
Friday,6,22,20,277
Friday,6,22,21,193
Friday,6,22,22,148
Friday,6,22,23,125
Friday,6,29,0,37
Friday,6,29,1,15
Friday,6,29,2,4
Friday,6,29,3,2
Friday,6,29,4,5
Friday,6,29,5,45
Friday,6,29,6,138
Friday,6,29,7,339
Friday,6,29,8,835
Friday,6,29,9,767
Friday,6,29,10,318
Friday,6,29,11,257
Friday,6,29,12,326
Friday,6,29,13,331
Friday,6,29,14,289
Friday,6,29,15,371
Friday,6,29,16,600
Friday,6,29,17,843
Friday,6,29,18,738
Friday,6,29,19,405
Friday,6,29,20,309
Friday,6,29,21,215
Friday,6,29,22,136
Friday,6,29,23,101
Friday,7,6,0,38
Friday,7,6,1,12
Friday,7,6,2,7
Friday,7,6,3,1
Friday,7,6,4,7
Friday,7,6,5,20
Friday,7,6,6,97
Friday,7,6,7,271
Friday,7,6,8,623
Friday,7,6,9,600
Friday,7,6,10,332
Friday,7,6,11,314
Friday,7,6,12,273
Friday,7,6,13,299
Friday,7,6,14,296
Friday,7,6,15,328
Friday,7,6,16,482
Friday,7,6,17,772
Friday,7,6,18,669
Friday,7,6,19,424
Friday,7,6,20,255
Friday,7,6,21,197
Friday,7,6,22,181
Friday,7,6,23,121
Friday,7,13,0,51
Friday,7,13,1,21
Friday,7,13,2,14
Friday,7,13,3,14
Friday,7,13,4,12
Friday,7,13,5,34
Friday,7,13,6,134
Friday,7,13,7,340
Friday,7,13,8,878
Friday,7,13,9,770
Friday,7,13,10,550
Friday,7,13,11,110
Friday,7,13,12,463
Friday,7,13,13,147
Friday,7,13,14,230
Friday,7,13,15,312
Friday,7,13,16,575
Friday,7,13,17,931
Friday,7,13,18,727
Friday,7,13,19,475
Friday,7,13,20,262
Friday,7,13,21,200
Friday,7,13,22,158
Friday,7,13,23,115
Friday,7,20,0,49
Friday,7,20,1,34
Friday,7,20,2,7
Friday,7,20,4,16
Friday,7,20,5,50
Friday,7,20,6,122
Friday,7,20,7,356
Friday,7,20,8,795
Friday,7,20,9,753
Friday,7,20,10,341
Friday,7,20,11,455
Friday,7,20,12,120
Friday,7,20,13,253
Friday,7,20,14,276
Friday,7,20,15,344
Friday,7,20,16,525
Friday,7,20,17,895
Friday,7,20,18,749
Friday,7,20,19,436
Friday,7,20,20,324
Friday,7,20,21,179
Friday,7,20,22,152
Friday,7,20,23,85
Friday,7,27,0,34
Friday,7,27,1,17
Friday,7,27,2,11
Friday,7,27,3,3
Friday,7,27,4,8
Friday,7,27,5,25
Friday,7,27,6,112
Friday,7,27,7,352
Friday,7,27,8,860
Friday,7,27,9,761
Friday,7,27,10,325
Friday,7,27,11,209
Friday,7,27,12,306
Friday,7,27,13,276
Friday,7,27,14,281
Friday,7,27,15,329
Friday,7,27,16,533
Friday,7,27,17,823
Friday,7,27,18,628
Friday,7,27,19,400
Friday,7,27,20,195
Friday,7,27,21,155
Friday,7,27,22,121
Friday,7,27,23,88
Friday,8,3,0,30
Friday,8,3,1,16
Friday,8,3,2,7
Friday,8,3,3,2
Friday,8,3,4,8
Friday,8,3,5,30
Friday,8,3,6,200
Friday,8,3,7,67
Friday,8,3,8,636
Friday,8,3,9,665
Friday,8,3,10,345
Friday,8,3,11,230
Friday,8,3,12,268
Friday,8,3,13,458
Friday,8,3,14,112
Friday,8,3,15,252
Friday,8,3,16,501
Friday,8,3,17,768
Friday,8,3,18,669
Friday,8,3,19,417
Friday,8,3,20,277
Friday,8,3,21,139
Friday,8,3,22,160
Friday,8,3,23,110
Friday,8,10,0,41
Friday,8,10,1,20
Friday,8,10,2,11
Friday,8,10,3,7
Friday,8,10,4,2
Friday,8,10,5,36
Friday,8,10,6,112
Friday,8,10,7,315
Friday,8,10,8,1475
Friday,8,10,9,299
Friday,8,10,10,253
Friday,8,10,11,472
Friday,8,10,12,125
Friday,8,10,13,247
Friday,8,10,14,317
Friday,8,10,15,331
Friday,8,10,16,559
Friday,8,10,17,826
Friday,8,10,18,713
Friday,8,10,19,394
Friday,8,10,20,238
Friday,8,10,21,159
Friday,8,10,22,139
Friday,8,10,23,117
Friday,8,17,0,30
Friday,8,17,1,21
Friday,8,17,2,7
Friday,8,17,3,5
Friday,8,17,4,8
Friday,8,17,5,33
Friday,8,17,6,118
Friday,8,17,7,607
Friday,8,17,8,841
Friday,8,17,9,161
Friday,8,17,10,212
Friday,8,17,11,267
Friday,8,17,12,280
Friday,8,17,13,297
Friday,8,17,14,271
Friday,8,17,15,336
Friday,8,17,16,502
Friday,8,17,17,1433
Friday,8,17,18,341
Friday,8,17,19,302
Friday,8,17,20,211
Friday,8,17,21,158
Friday,8,17,22,118
Friday,8,17,23,73
Friday,8,24,0,43
Friday,8,24,1,22
Friday,8,24,2,13
Friday,8,24,3,1
Friday,8,24,4,6
Friday,8,24,5,39
Friday,8,24,6,126
Friday,8,24,7,358
Friday,8,24,8,725
Friday,8,24,9,699
Friday,8,24,10,328
Friday,8,24,11,492
Friday,8,24,12,85
Friday,8,24,13,244
Friday,8,24,14,276
Friday,8,24,15,334
Friday,8,24,16,546
Friday,8,24,17,1509
Friday,8,24,18,312
Friday,8,24,19,266
Friday,8,24,20,180
Friday,8,24,21,146
Friday,8,24,22,108
Friday,8,24,23,85
Friday,8,31,0,33
Friday,8,31,1,16
Friday,8,31,2,16
Friday,8,31,3,9
Friday,8,31,4,3
Friday,8,31,5,64
Friday,8,31,6,11
Friday,8,31,7,262
Friday,8,31,8,662
Friday,8,31,9,1192
Friday,8,31,10,104
Friday,8,31,11,366
Friday,8,31,12,107
Friday,8,31,13,241
Friday,8,31,14,269
Friday,8,31,15,360
Friday,8,31,16,504
Friday,8,31,17,682
Friday,8,31,18,856
Friday,8,31,19,158
Friday,8,31,20,150
Friday,8,31,21,132
Friday,8,31,22,100
Friday,8,31,23,60
Friday,9,7,0,35
Friday,9,7,1,15
Friday,9,7,2,9
Friday,9,7,3,7
Friday,9,7,4,9
Friday,9,7,5,32
