day_name,month,day,hour,demand
Friday,3,23,19,34
Friday,3,23,20,23
Friday,3,23,21,8
Friday,3,23,22,8
Friday,3,23,23,10
Friday,3,30,0,6
Friday,3,30,1,3
Friday,3,30,2,6
Friday,3,30,3,1
Friday,3,30,6,4
Friday,3,30,7,14
Friday,3,30,8,49
Friday,3,30,9,36
Friday,3,30,10,49
Friday,3,30,11,50
Friday,3,30,12,73
Friday,3,30,13,78
Friday,3,30,14,67
Friday,3,30,15,73
Friday,3,30,16,73
Friday,3,30,17,101
Friday,3,30,18,50
Friday,3,30,19,52
Friday,3,30,20,38
Friday,3,30,21,14
Friday,3,30,22,23
Friday,3,30,23,8
Friday,4,6,0,3
Friday,4,6,1,2
Friday,4,6,2,1
Friday,4,6,6,2
Friday,4,6,7,4
Friday,4,6,8,14
Friday,4,6,10,2
Friday,4,6,12,3
Friday,4,6,14,1
Friday,4,6,16,4
Friday,4,6,17,10
Friday,4,6,19,6
Friday,4,6,21,2
Friday,4,6,22,24
Friday,4,13,0,4
Friday,4,13,1,2
Friday,4,13,2,1
Friday,4,13,3,1
Friday,4,13,4,1
Friday,4,13,5,3
Friday,4,13,6,7
Friday,4,13,7,18
Friday,4,13,8,44
Friday,4,13,9,43
Friday,4,13,10,20
Friday,4,13,11,53
Friday,4,13,12,45
Friday,4,13,13,49
Friday,4,13,14,58
Friday,4,13,15,58
Friday,4,13,16,55
Friday,4,13,17,81
Friday,4,13,18,62
Friday,4,13,19,38
Friday,4,13,20,25
Friday,4,13,21,16
Friday,4,13,22,26
Friday,4,13,23,8
Friday,4,20,0,3
Friday,4,20,2,4
Friday,4,20,3,2
Friday,4,20,4,1
Friday,4,20,6,3
Friday,4,20,7,20
Friday,4,20,8,36
Friday,4,20,9,45
Friday,4,20,10,46
Friday,4,20,11,60
Friday,4,20,12,56
Friday,4,20,13,70
Friday,4,20,14,57
Friday,4,20,15,69
Friday,4,20,16,90
Friday,4,20,17,97
Friday,4,20,18,109
Friday,4,20,19,54
Friday,4,20,20,23
Friday,4,20,21,26
Friday,4,20,22,7
Friday,4,20,23,15
Friday,4,27,0,7
Friday,4,27,3,4
Friday,4,27,5,2
Friday,4,27,6,5
Friday,4,27,7,25
Friday,4,27,8,130
Friday,4,27,9,67
Friday,4,27,11,46
Friday,4,27,12,56
Friday,4,27,13,41
Friday,4,27,14,39
Friday,4,27,15,56
Friday,4,27,16,82
Friday,4,27,17,118
Friday,4,27,18,104
Friday,4,27,19,69
Friday,4,27,20,23
Friday,4,27,21,25
Friday,4,27,22,24
Friday,4,27,23,24
Friday,5,4,0,4
Friday,5,4,1,3
Friday,5,4,2,4
Friday,5,4,3,3
Friday,5,4,4,1
Friday,5,4,5,1
Friday,5,4,6,4
Friday,5,4,7,38
Friday,5,4,8,56
Friday,5,4,9,54
Friday,5,4,10,65
Friday,5,4,11,55
Friday,5,4,12,57
Friday,5,4,13,46
Friday,5,4,14,65
Friday,5,4,15,73
Friday,5,4,16,76
Friday,5,4,17,111
Friday,5,4,18,93
Friday,5,4,19,67
Friday,5,4,20,40
Friday,5,4,21,17
Friday,5,4,22,16
Friday,5,4,23,14
Friday,5,11,0,1
Friday,5,11,1,2
Friday,5,11,3,6
Friday,5,11,4,1
Friday,5,11,5,2
Friday,5,11,6,12
Friday,5,11,7,36
Friday,5,11,8,65
Friday,5,11,9,60
Friday,5,11,10,56
Friday,5,11,11,73
Friday,5,11,12,76
Friday,5,11,13,55
Friday,5,11,14,77
Friday,5,11,15,104
Friday,5,11,16,108
Friday,5,11,17,138
Friday,5,11,18,130
Friday,5,11,19,81
Friday,5,11,20,60
Friday,5,11,21,34
Friday,5,11,22,23
Friday,5,11,23,24
Friday,5,18,0,3
Friday,5,18,1,3
Friday,5,18,2,1
Friday,5,18,5,2
Friday,5,18,6,15
Friday,5,18,7,60
Friday,5,18,9,51
Friday,5,18,10,41
Friday,5,18,11,39
Friday,5,18,12,39
Friday,5,18,13,60
Friday,5,18,14,59
Friday,5,18,15,114
Friday,5,18,17,103
Friday,5,18,18,88
Friday,5,18,19,61
Friday,5,18,20,37
Friday,5,18,21,25
Friday,5,18,22,22
Friday,5,18,23,15
Friday,5,25,0,7
Friday,5,25,1,1
Friday,5,25,2,3
Friday,5,25,5,1
Friday,5,25,6,4
Friday,5,25,7,26
Friday,5,25,8,59
Friday,5,25,9,41
Friday,5,25,10,42
Friday,5,25,11,108
Friday,5,25,13,58
Friday,5,25,14,60
Friday,5,25,15,69
Friday,5,25,16,73
Friday,5,25,17,86
Friday,5,25,18,85
Friday,5,25,19,45
Friday,5,25,20,36
Friday,5,25,21,15
Friday,5,25,22,22
Friday,5,25,23,14
Friday,6,1,0,3
Friday,6,1,1,1
Friday,6,1,2,1
Friday,6,1,3,1
Friday,6,1,5,4
Friday,6,1,6,8
Friday,6,1,7,35
Friday,6,1,8,54
Friday,6,1,9,45
Friday,6,1,10,49
Friday,6,1,11,37
Friday,6,1,12,39
Friday,6,1,13,52
Friday,6,1,14,56
Friday,6,1,15,56
Friday,6,1,16,74
Friday,6,1,17,113
Friday,6,1,18,129
Friday,6,1,19,75
Friday,6,1,20,44
Friday,6,1,21,52
Friday,6,1,22,38
Friday,6,1,23,22
Friday,6,8,0,2
Friday,6,8,1,1
Friday,6,8,4,1
Friday,6,8,5,3
Friday,6,8,6,7
Friday,6,8,7,53
Friday,6,8,8,55
Friday,6,8,9,60
Friday,6,8,10,42
Friday,6,8,11,44
Friday,6,8,12,68
Friday,6,8,13,79
Friday,6,8,14,96
Friday,6,8,15,88
Friday,6,8,16,82
Friday,6,8,17,126
Friday,6,8,18,68
Friday,6,8,19,42
Friday,6,8,20,43
Friday,6,8,21,27
Friday,6,8,22,18
Friday,6,8,23,32
Friday,6,15,0,5
Friday,6,15,1,2
Friday,6,15,2,2
Friday,6,15,5,5
Friday,6,15,6,13
Friday,6,15,7,44
Friday,6,15,8,79
Friday,6,15,9,54
Friday,6,15,10,35
Friday,6,15,11,40
Friday,6,15,12,104
Friday,6,15,14,54
Friday,6,15,15,69
Friday,6,15,16,76
Friday,6,15,17,95
Friday,6,15,18,79
Friday,6,15,19,59
Friday,6,15,20,32
Friday,6,15,21,17
Friday,6,15,22,12
Friday,6,15,23,11
Friday,6,22,0,9
Friday,6,22,1,2
Friday,6,22,2,1
Friday,6,22,3,1
Friday,6,22,4,2
Friday,6,22,5,8
Friday,6,22,6,9
Friday,6,22,7,43
Friday,6,22,8,73
Friday,6,22,9,47
Friday,6,22,10,44
Friday,6,22,11,56
Friday,6,22,12,86
Friday,6,22,13,68
Friday,6,22,14,68
Friday,6,22,15,87
Friday,6,22,16,124
Friday,6,22,17,149
Friday,6,22,18,105
Friday,6,22,19,94
Friday,6,22,20,56
Friday,6,22,21,28
Friday,6,22,22,49
Friday,6,22,23,27
Friday,6,29,0,3
Friday,6,29,1,2
Friday,6,29,2,1
Friday,6,29,4,6
Friday,6,29,5,5
Friday,6,29,6,12
Friday,6,29,7,34
Friday,6,29,8,70
Friday,6,29,9,72
Friday,6,29,10,40
Friday,6,29,11,54
Friday,6,29,12,68
Friday,6,29,13,69
Friday,6,29,14,72
Friday,6,29,15,95
Friday,6,29,16,99
Friday,6,29,17,139
Friday,6,29,18,122
Friday,6,29,19,73
Friday,6,29,20,58
Friday,6,29,21,39
Friday,6,29,22,26
Friday,6,29,23,17
Friday,7,6,0,3
Friday,7,6,2,3
Friday,7,6,5,3
Friday,7,6,6,11
Friday,7,6,7,9
Friday,7,6,8,51
Friday,7,6,9,46
Friday,7,6,10,107
Friday,7,6,11,105
Friday,7,6,12,74
Friday,7,6,13,87
Friday,7,6,14,71
Friday,7,6,15,86
Friday,7,6,16,115
Friday,7,6,17,141
Friday,7,6,18,106
Friday,7,6,19,86
Friday,7,6,20,50
Friday,7,6,21,60
Friday,7,6,22,43
Friday,7,6,23,22
Friday,7,13,0,1
Friday,7,13,1,5
Friday,7,13,2,2
Friday,7,13,5,2
Friday,7,13,6,15
Friday,7,13,7,25
Friday,7,13,8,66
Friday,7,13,9,49
Friday,7,13,10,106
Friday,7,13,12,128
Friday,7,13,14,85
Friday,7,13,15,87
Friday,7,13,16,131
Friday,7,13,17,146
Friday,7,13,18,149
Friday,7,13,19,67
Friday,7,13,20,45
Friday,7,13,21,36
Friday,7,13,22,37
Friday,7,13,23,34
Friday,7,20,0,5
Friday,7,20,1,2
Friday,7,20,2,1
Friday,7,20,4,1
Friday,7,20,5,1
Friday,7,20,6,20
Friday,7,20,7,32
Friday,7,20,8,57
Friday,7,20,9,67
Friday,7,20,10,56
Friday,7,20,11,138
Friday,7,20,13,72
Friday,7,20,14,80
Friday,7,20,15,83
Friday,7,20,16,108
Friday,7,20,17,171
Friday,7,20,18,103
Friday,7,20,19,81
Friday,7,20,20,60
Friday,7,20,21,29
Friday,7,20,22,33
Friday,7,20,23,9
Friday,7,27,0,4
Friday,7,27,1,2
Friday,7,27,2,4
Friday,7,27,3,1
Friday,7,27,4,1
Friday,7,27,5,7
Friday,7,27,6,7
Friday,7,27,7,34
Friday,7,27,8,81
Friday,7,27,9,52
Friday,7,27,10,40
Friday,7,27,11,46
Friday,7,27,12,53
Friday,7,27,13,53
Friday,7,27,14,74
Friday,7,27,15,89
Friday,7,27,16,84
Friday,7,27,17,112
Friday,7,27,18,99
Friday,7,27,19,55
Friday,7,27,20,27
Friday,7,27,21,33
Friday,7,27,22,13
Friday,7,27,23,16
Friday,8,3,0,3
Friday,8,3,1,1
Friday,8,3,2,1
Friday,8,3,4,2
Friday,8,3,5,7
Friday,8,3,6,16
Friday,8,3,8,54
Friday,8,3,9,50
Friday,8,3,10,48
Friday,8,3,11,56
Friday,8,3,12,57
Friday,8,3,13,108
Friday,8,3,15,71
Friday,8,3,16,96
Friday,8,3,17,95
Friday,8,3,18,129
Friday,8,3,19,71
Friday,8,3,20,49
Friday,8,3,21,30
Friday,8,3,22,25
Friday,8,3,23,20
Friday,8,10,0,8
Friday,8,10,1,6
Friday,8,10,2,4
Friday,8,10,3,4
Friday,8,10,4,1
Friday,8,10,5,6
Friday,8,10,6,6
Friday,8,10,7,26
Friday,8,10,8,128
Friday,8,10,10,51
Friday,8,10,11,108
Friday,8,10,13,88
Friday,8,10,14,92
Friday,8,10,15,98
Friday,8,10,16,98
Friday,8,10,17,166
Friday,8,10,18,112
Friday,8,10,19,80
Friday,8,10,20,62
Friday,8,10,21,36
Friday,8,10,22,42
